,Document directory,Format,Comic_title,Untranslated Title,Source Title,Author,Translator,Author_origin,Author_country (current),Global region,Country,Language,Original Language (Translations),Publisher,Genre ,"Comic ""style""",Audience,Demographic,Publication Date,Pages#,Chapters Qty,Chapter/Issue#,Completed,Description,Website,CCL,Permission,File,Notes,Country again,Title again,Spacer,MAST Notes,Uploaded to MAST,1.1: Panels & Panels,1.2: Characters,1.2.1 Gender,1.3: Carriers,2.1: Framing,2.2: Continuity Annotations,2.2: Continuity Relations,2.3: Motion Events,2.4: ICS,2.5: Character Emotions,2.5.1 Panel Emotions,2.6 Panel Templates,2.7 Panel Borders,2.8 POV,2.9 Onoma,3.1 Situation,3.2 Depth,3.3 Gesture
SG,,Webcomic,Mother Ghoul,,,noranfikri,,Egypt,Egypt,Africa,Egypt,,,SMA,"Slice of life, Horror",,,,2020,12,,,yes,,,,,,,Egypt,Mother Ghoul,1,,NC-2023S,SG/AK,OS%,,,AK+,HM,HM,,,,XZ,NC+,SG,,,ND%,,
NC,,Webcomic,Happy Misfortune,,SMAC!,Antonio Grim,,El Salvador,El Salvador,South America,El Salvador,,,SMAC Web Magazine,Supernatural,Manga,Everyone,,2018,,,,,,https://smacmag.net/v/sma18/happy-misfortune-by-antonio-grim/,,,,,El Salvador,Happy Misfortune,1,R-to-L,NC-2023S,SG,,,,NC+,,,,,,XZ,NC+,FM,,,,,
NC,,Webcomic,A reward for the dark warrior,,SMAC!,Cherry,,El Salvador,El Salvador,South America,El Salvador,,,SMAC Web Magazine,Fantasy,Manga,Everyone,,2018,,,,,,https://smacmag.net/v/sma18/a-reward-for-the-dark-warrior-by-cherry/,,,,,El Salvador,A reward for the dark warrior,1,R-to-L,NC-2023S,SG,,,,NC+,,,,,,XZ,NC+,,,,MaM,,KY
NC,,Webcomic,Caterpillar,,SMAC!,Kurimi,,El Salvador,El Salvador,South America,El Salvador,,,SMAC Web Magazine,Fantasy,Manga,Everyone,,2017,,,,,,https://smacmag.net/v/sma17/caterpillar-by-kurimi/,,,,,El Salvador,Caterpillar,1,R-to-L,NC-2023S,FM,,,,NC+,,,,,,SD,NC+,,,,,,KY
NC,,Webcomic,The real prize,,SMAC!,Bera Garcia,,El Salvador,El Salvador,South America,El Salvador,,,SMAC Web Magazine,Fantasy,Manga,Everyone,,2022,,,,,,https://smacmag.net/v/sma13/the-real-prize-by-bera-garcia/,,,,,El Salvador,The real prize,1,R-to-L,NC-2023S,FM,,,,NC+,,,,,,JB,,SG,,,MaM,,
NC,,Webcomic,Little Warm Hearted Guest,,Warburger,Joonas Sildre,,Estonia,Estonia,Europe,Estonia,English,,,Memoir,,,,2003,,,,,,,,,,,Estonia,Little Warm Hearted Guest,1,,NC-2022F,AS,AS,PB,,TH+,AS,AS,IH+,PG,OS,LZ,,SG,,,MaM,,
NC,,Webcomic,The Big Bang,,,Joonas Sildre,,Estonia,Estonia,Europe,Estonia,English,,,Memoir,,,,2005,,,,,,,,,,,Estonia,The Big Bang,1,,NC-2022F,AS,,,,TH+,HM,HM,IH+,,,XZ,NC+,SG,,,,,
NC,,Webcomic,Rahingard & Werenval,,,Luuru,,Estonia,Estonia,Europe,Estonia,English,,Tapas,Supernatural,,,,2016,,,,,,https://tapas.io/episode/260693,,,,,Estonia,Rahingard & Werenval,1,,NC-2022F,TH,,,,TH+,TH,,,,,XZ,,,,,,,
NC,,Webcomic,The Marriage of a Bull and a Bullfighter,,,Stella Salumaa,,Estonia,Estonia,Europe,Estonia,English,,,Fiction,,,,2013,,,,,,https://www.stellasalumaa.com/bullfighter,,,,,Estonia,The Marriage of a Bull and a Bullfighter,1,,NC-2022F,TH,,,,TH+,TH,,,,,XZ,,SG,,,,,
NC,,Webcomic,Where does your money go?,,,Stella Salumaa,,Estonia,Estonia,Europe,Estonia,English,,,Fiction,,,,2016,,,,,,https://www.stellasalumaa.com/where-does-your-money-go,,,,,Estonia,Where does your money go?,1,,NC-2022F,TH,,,,TH+,TH,,,,,JB,,SG,,,ND,,
NC,,Short story,Buna Qurs,,AfriComics!,"W: Besufekade Mulu, A: Michael Asrat",,Ethiopia,Ethiopia,Africa,Ethiopia,English,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/aethiopien--suedsudan/bqs.html,,,,,Ethiopia,Buna Qurs,1,,NC-2023S,SG,,,,TH+,TH,, +,,,JW,,SG,,,ND,,
NC,,Short story,Bana,,AfriComics!,"W: Fikade Kifle Mahfede, A: Yihenew Worku",,Ethiopia,Ethiopia,Africa,Ethiopia,English,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/aethiopien--suedsudan/ban.html,,,,,Ethiopia,Bana,1,,NC-2023S,SG,,,,TH+,SG,BK, +,,,SD,NC+,SG,,,ND,RHE,
NC,,Short story,The Witness,,AfriComics!,Harerta Teklu,,Ethiopia,Ethiopia,Africa,Ethiopia,English,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/en/cmc/ethiopia--south-sudan/the-witness-harerta-teklu.html,,,,,Ethiopia,The Witness,1,,NC-2023S,TH,,,,TH+,TH,, +,,,SD,NC+,,,,ND,RB,
NC,,Short story,The Priest,,AfriComics!,Yared Baybesagn,,Ethiopia,Ethiopia,Africa,Ethiopia,English,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/aethiopien--suedsudan/tpt.html,,,,,Ethiopia,The Priest,1,,NC-2023S,TH,OS,SE,,TH+,HM,,AL+,,OS,SD,NC+,,,,MaM,,
BK,,Webcomic,No End,,,"Erli, Kromi",,,Finland (lives in),Europe,Finland,English,English,Hiveworks Comics,"Romance, Post-apocalyptic",Manga,YA,,2017,25,0.5,7,0,"No End is a webcomic about a group of people struggling to survive in a post apocalyptic country ravaged by an unyielding winter and hordes of undead. Living amid a world of horror doesn’t erase the cast’s day-to-day worries about identity, family, friendship and betrayal, as they seek people they can trust, as well as a legendary place called “Haven” rumored to be free of the cold and horror. Just as none of them are sure that it even exists, they aren’t sure what their place in their world is. But each step forward leads towards who they are, who they should become, and where they belong.",noendcomic@gmail.com,,Sharing,,,Finland,No End,1,,NC-S22,MS,MG,SE,,JV+,MG,MG,,,,SD,NC,SG,,,,,
BK,,Webcomic,Sulfur and Salt,,,Susanna Nousiainen,,Finland,,Europe,Finland,English,English,Hiveworks Comics,Fantasy,,YA,,2016,32,0.5,1,1,"Two countries stand divided by a sea haunted by gruesome monsters and eerie shipwrecks. One country, fashioned from magic. The other, built with metal and machines. The people of Eliasyne possess an ancient magic known as the Will. The Will grants them the ability to shape their surroundings as they please. In Skarion there is no such magic; innovation and ingenuity are the qualities that allowed Skarion to flourish. When a group of students from Eliasyne discover a hidden passage to Skarion, the two worlds collide. The students form an odd but intrepid alliance with an ambitious group of young Skarionites. Together they discover and study in secret an ancient art known as alchemy - a combination of magic and science. Their discovery leads to the awakening of old, dangerous forces and the group finds themselves knee-deep in trouble. It’s not just their lives that are threatened, but their countries as well. Sulfur and Salt is a story about alchemy, friendship, romance, mystery and the occasional demi-god, aimed to a young adult readership.",snsusappu@gmail.com,,Sharing,,,Finland,Sulfur and Salt,1,,NC-S22,MG,MG,SE,,JV+,MG,MG,ID+,,,JB,NC,,,,,,
BK,,Webcomic,The Witch Door,,,Anni K.,,Finland,Finland,Europe,Finland,English,English,Hiveworks Comics,Fantasy,,Teen,,2017,35,1,1,0,"Katariina Lehto and Jousia Muotka are neighbors. They haven't talked to each other, until one day a mischievous cat leads Katariina into Jousia's apartment. Katariina tells Jousia that she's a nurse, but not that she's on a sick leave because of burnout. Jousia tells her that he's a clairvoyant, but not that he's actually a witch. However, they find out about each other's secrets, and Jousia decides to help Katariina by introducing her to the many wondrous places behind a mysterious witch door.",annikera@gmail.com,,Sharing,,,Finland,The Witch Door,1,,NC-S22,JV,BK,SE,,JV+,BK,BK,ID+,,,JB,NC,,,,,,
SL,,Webcomic,"Tiger, Tiger",,,Petra Erika Nordlund,,Finland,Germany?,Europe,Finland,English,,Hiveworks,Adventure,Cartoony,Teen,,2018,64,2,prologue &1,,,https://www.tigertigercomic.com,,,"Tiger, Tiger",,Finland,"Tiger, Tiger",1,,NC-S22,TH,,,,SG+,TH,,,,,JB,NC,,,,,,
NC,,Graphic Novel,The Ozone Diary,Otsonipäiväkirjat,,"W: Tero Mielonen, A: Pentti Otsamo",,Finland,Finland,Europe,Finland,Finnish,,Ursa,"Slice of life, Public",,Teen/Adult,,2017,6-24,,1,,,http://www.penttiotsamo.com/,,Private,Otsonipäiväkirjat_7-31,,Finland,Otsonipäiväkirjat,1,,NC-S22,AS,AS,SE,,JV+,AS,AS,ID+,,,JW,NC,FM,,,,,
NC,,Graphic Novel,Yhesti yhes kymmenennes paikas,,,Ville Prinen,,Finland,Finland,Europe,Finland,Finnish,,Suuri Kurpitsa,Drama Comedy,,Adult,,2017,6-24,,1,,,www.instagram.com/villepirinen_illustrations,,Private,VillePirinen_comicpages_lowres.pdf,,Finland,Yhesti yhes kymmenennes paikas,1,,NC-S22,AS,,,,NC+,,, +,,,JB,NC,,,,ND,,
NC,,Graphic Novel,OKSI,,,Mari Ahokoivu,,Finland,Finland,Europe,Finland,English,,Levine Querido,Science Fiction,,Teen/Adult,,2021,51-75,,1,,,www.mariahokoivu.com,,Private,,,Finland,OKSI,1,,NC-S22,TH,,,,TH+,TH,,,,,JB,NC,,,,,,
NC,,Graphic Novel,Arno,,,Emmi Valve,,Finland,Finland,Europe,Finland,Finnish,,Asema Kustannus,Autobiographical,,Adult,,2017,,,,,,https://www.instagram.com/emmi_valve_artist/?hl=fi,,Shared,Armo_Sample_small.pdf,,Finland,Arno,1,,NC-S22,AS,,,,SG+,BK,, +,,,JB,NC,,,,,,
NC,,Graphic Novel,Kajaani,,,Ville Ranta,,Finland,Finland,Europe,Finland,Finnish,,Asema Kustannus,Historical fiction,,Teen/Adult,,2008,,,1,,,https://www.asemakustannus.com/kauppa/tuote/kajaani/,,Private,kajaani_24sivua.pdf,,Finland,Kajaani,1,,NC-S22,AS,,,,NC+,BK,, +,,,JB,NC,SG,,,,,
NC,,Graphic Novel,Keiden Kaupunki,,,Tiitu Takalo,,Finland,Finland,Europe,Finland,Finnish,,,Non-fiction,,Everyone,,2021,,,,,,http://www.tiitutakalo.net/,,Private,keiden_kaupunki_takalo_mannisto_funk_r.pdf,,Finland,Keiden Kaupunki,1,,NC-S22,AS,AS,SE,,JV+,AS,AS,ID+,,,JB!,NC,SG,,,,,
NC,,Graphic Novel,Kotolan mies ja loinen,,,Marko Turenen,,Finland,Finland,Europe,Finland,Finnish,,Zum Teufel,Science Fiction,,Adult,,2021,,,,,,https://www.instagram.com/turusenpyssy/,,Private,Kotolan,,Finland,Kotolan mies ja loinen,1,,NC-S22,AS,,,,NC+,BK,, +,,,SD,NC,,,,,,
NC,,Graphic Novel,Thinning,Harvennus,,"A: Ville Tietäväinen, W:  Iiro Küttner",,Finland,Finland,"
",Finland,English,Finnish,Werner Söderström Ltd,Archealogical thriller,,Adult,,2021,,,,,,https://linjamiehet.fi/villetietavainen/omatteoksetauthor/,,Shared,Kotolan,,Finland,Thinning,1,,NC-S22,AS,,,,NC+,BK,BK, +,,,JB,NC,,,,,,
NC,,Graphic Novel,Valas,,,Janne Toriseva,,Finland,Finland,Europe,Finland,Finnish,,,"History, Adventure",,Teen/Adult,,2019,,,1,,,www.mariahokoivu.com,,Private,,,Finland,Valas,1,,NC-S22,AS,AS,SE,,JV+,AS,AS, +,,,LZ,NC,SG,,,,,
NC,,Graphic Novel,1986,,,Mika Lietzén,,Finland,Finland,Europe,Finland,Finnish,English,Asema Kustannus,Coming-of-age,,Teen/Adult,,2014,,,1,,,www.lietzen.com,,Private,1986.pdf,,Finland,1986,1,,NC-S22,JV,BK,SE,,JV+,BK,BK, +,,,JB,NC,SG,,,,,
NC,,Graphic Novel,Anabasis,,,Petri Hiltunen,,Finland,Finland,Europe,Finland,English,,Markosia Enterprises Ltd,Adventure,,Teen/Adult,,2018,,,1,,,,,Private,,,Finland,Anabasis,1,,NC-S22,JV,KK,SE,,JV+,KK,KK,,,,LZ,NC,FM,,,,,
NC,,Graphic Novel,Walking with Samuel,,,Tommi Musturi,,Finland,Finland,Europe,Finland,,,,Contemporary,,Everyone,,2009,,,,,,http://www.tommimusturi.com/,,Shared,Walking_With_Samuel.pdf,,Finland,Walking with Samuel,1,,NC-S22,KK,KK,PB,,JV+,KK,KK,ID+,,LP,JW,NC,SG,,,,,
BK,,Webcomic,Kids These Days,,,Noora Heikkilä,,Finland,,Europe,Finland,English,English,Hiveworks Comics,"Slice of life, Coming-of-age",,YA,,2017,31,0.5,1,1,"KIDS THESE DAYS follows the lives of three 20-year-olds, Heletia, Duilio and Velut, in the fictional city of Osk. The kids rent an art studio together, and search for their place in professional and private spaces over the course of 4 years in a time of fast societal change.",noorling@gmail.com,,Sharing,,,Finland,Kids These Days,1,,NC-S22-Wrong Order?,MG,MG,SE,,JV+,MG,MG,AL+,,,JB,,,,,,,
NC,,Anthology,Le solitaire,,Dans les hauts,Grégoire,,France,France,North America,France,French,,Centre du Monde,Historical Fantasy,Cartoony,Adult,,2001,,,,,,,,,,,France,Le solitaire,1,,NC-2023S,SG,,,,NC+,AS,, +,KH,,LZ,NC+,SG,,,MaM,,KY
NC,,Anthology,Antoine,,Dans les hauts,Li-An,,France,France,North America,France,French,,Centre du Monde,Science Fiction,,Adult,,2001,,,,,,,,,,,France,Antoine,1,,NC-2023S,SG,,,,NC+,AS,, +,KH,,SD,NC+,SG,,,MaM,,
NC,,Anthology,Bon voyage M. Gruchet,,Dans les hauts,Téhem,,France,France,North America,France,French,,Centre du Monde,Historical Fantasy,,Adult,,2001,,,,,,,,,,,France,Bon voyage M. Gruchet,1,,NC-2023S,NC,,,,NC+,NC,, +,,,JW,NC+,SG,,,MaM,,KY
NC,,Anthology,Mussard,,Dans les hauts,Huo-Chao Si & Appollo,,France,France,North America,France,French,,Centre du Monde,Historical Fantasy,,Adult,,2001,,,,,,,,,,,France,Mussard,1,,NC-2023S,SG,,,,NC+,AS,, +,,,JW,NC+,SG,,,MaM,,KY
NC,,Anthology,Retour à Bourbon,,Dans les hauts,Michel Faure,,France,Réunion,North America,France,French,,Centre du Monde,Science Fiction,,Adult,,2001,,,,,,,,,,,France,Retour à Bourbon,1,,NC-2023S,AS,,,,NC+,,, +,,,JW,NC+,,,,,,KY
NC,,Comic magazine,Les hommes venus des étoiles,,Aventures de demain…!,Bill Lacey,,France,France,Europe,France,French,,Éditions de Châteaudun,Science Fiction,Superhero,Everyone,,1956,1-24,,1,,,,,,,,France,Les hommes venus des étoiles,1,,NC-S22,AS,,,,SG+,BK,, +,,,JB,NC,FM,,,,,
NC,,Graphic novel,The Marquis of Anaon - The Isle of Brac,,,"Writer: Fabien Vehlmann, Artist: Matthieu Bonhomme",,France,France,Europe,France,English,French,Cinebook 9th Art Comics,Horror,,Everyone,,2015,3-19,,1,,,,,,,,France,The Marquis of Anaon - The Isle of Brac,1,,NC-S22,AS,,,,NC+,AS (-char),AS (-char),,,,JB,NC,,,,,,
NC,,Graphic novel,Orwell,,,"W: Pierre Christin, A: Sébastien Verdier",Edward Gauvin,France,France,Europe,France,English,French,Self Made Hero,Biography,,Everyone,,2019,103-109,,,,,,,,,,France,Orwell,1,,NC-S22,AS,AS,SE,,JV+,AS,AS,ID+,,,JW,NC,SG,,,ND,RHE,
NC,,Graphic novel,Call me Nathan,Appelez-moi Nathan,,Catherine Castro & Quentin Zutton,Evan McGorray,France,France,Europe,France,English,French,Self Made Hero,Biography,,Everyone,,2018,78-89,,,,,,,,,,France,Call me Nathan,1,,NC-S22,KK,KK,PB,,JV+,KK,KK,ID+,,LP,JW,NC,SG,,,MaM,,
NC,,Graphic novel,Alice Guy - First Lady of Film,,,"A: Catel Muller, W: José-Louis Bocquet",Edward Gauvin,France,France,Europe,France,English,French,Self Made Hero,Biography,,Everyone,,2021,83-96,,,,,,,,,,France,Alice Guy - First Lady of Film,1,,NC-S22,TH,,,,SG+,BK,,,,,JB,NC,SG,,,,,
NC,,Comic book,Fantax - Le Gentleman fantôme,,,"A: Pierre Mouchot, W: Marcel Navarro",,France,France,Europe,France,French,,Éditions Pierre Mouchot,Superhero,Superhero,Everyone,,1946,,,1,,,,,,,,France,Fantax - Le Gentleman fantôme,1,,NC-S22,AS,,,,NC+,BK,,,,,JW,NC,FM,,,,,
NC,,Graphic novel,Isabella - She-Wolf of France,Isabelle la louve de France,,"W: Marie Gloris, Thierry Gloris, A: Jaime Calderon",,France,France,Europe,France,English,French,Delcourt,"History, Adventure",,Everyone,,2012,,,2,,,,,,,,France,Isabella - She-Wolf of France,1,,NC-S22,AS,BK,SE,,NC+,BK,BK,,,,JB,NC,FM,,,,,
NC,,Graphic novel,La planète encore,,,Moebius,,France,France,Europe,France,,,Les Humanoïdes Associés,Science Fiction,Ligne claire,Teen/Adult,,1983,,,,,,,,,,,France,La planète encore,1,,NC-S22,MG,MG,PB,,JV+,MG,MG,ID+,,LP,JB,NC,SG,,,,,
NC,,Comic magazine,Tim L'audace et les Amazones,,Ardan,"W: Jean Lombard, A: Robert Giordan, Raoul Giordan",,France,France,Europe,France,French,,Artima,Adventure,Superhero,Everyone,,1952,,,1,,,,,,,,France,Tim L'audace et les Amazones,1,,NC-S22,TG,,,,NC+,AS,,,,,JB,NC,FM,,,,,
NC,,Graphic novel,Valerian and Laureline - The Empire of a Thousand Planets,,,"Writer: Pierre Christin, Artist: Jean-Claude Mézières",Jerome Saincantin,France,France,Europe,France,English,French,Cinebook 9th Art Comics,Science Fiction,Ligne claire,Everyone,,1971,,,2,,,,,,,,France,Valerian and Laureline - The Empire of a Thousand Planets,1,,NC-S22,TG,,,,SG+,TH,,,,,SD,NC,FM,,,,,
NC,,Webcomic,BeAT,,SMAC!,Alvan,,Georgia,Georgia,Central Asia,Georgia,,,SMAC Web Magazine,Slice of life,Manga,Everyone,,2017,,,,,,https://smacmag.net/v/sma17/beat-by-alvan/,,,,,Georgia,BeAT,1,R-to-L,NC-2023S,SG,,,,NC+,,,,,,JB,NC+,FM,,,,,
SG,,Comic book,Fairy Tales gone Spandex,,,Albert Hulm,,,Germany,Europe,Germany,German,,,"Adventure, Fantasy",,,,2017,12,,,,,www.sploosh.de,,,,,Germany,Fairy Tales gone Spandex,1,,NC-S22,AS,AS,SE,,JV+,AS,AS,ID+,,,JW,NC,,,,,,
SG,,Graphic novel,Lanternjack,,,Martin Frei,,,Germany,Europe,Germany,German,,Panini,Fantasy,,,,2013,18,,,,,,,,,,Germany,Lanternjack,1,,NC-S22,KK,KK,SE,,JV+,KK,KK, +,,,LZ,NC,FM,,,,,
SG,,Comic book,Ugar: Der letzte neandertaler,,,Markus Androsch ,,,,Europe,Germany,German,,,"Historical, Comedy, Adventure",,,,2021,19,,,,,www.markanddraw.de/,,,,,Germany,Ugar: Der letzte neandertaler,1,,NC-S22,AS,AS,SE,,JV+,AS,AS,AL+,,,JB,NC,SG,,,,,
SG,,Comic book,München 1945,,,Sabu (artist) & Sabo (author),,,,Europe,Germany,German/English,,,Historical,,,,2013,21,,Chapter 1,,,,,,,,Germany,München 1945,1,,NC-S22,AS,,,,NC+,AS,, +,,,JB,NC,SG,,,,,
SG,,Comic book,HELDEN,,,Ralf Paul,,Germany,,Europe,Germany,German,,Ideenschmiede Paul & Paul,"Adventure, Fantasy",,,,2001,22,,,,,,,,,,Germany,HELDEN,1,,NC-S22,TH,,,,TH+,BK,,,,,JB,NC,,,,,,
BK,,Webcomic,Lost Nightmare,,,Miyuli/ Julia K.,,,Germany,Europe,Germany,English,English,Hiveworks Comics,Fantasy,Cartoony,Everyone,,2015,24,1,5,0,"Lost Nightmare is a comic about the young nightmare Ink who is supposed to be the next Bogeyman. However, Ink does not want to be scary so he seeks the Sandman's help.",miyuli.art@gmail.com,,Sharing,,,Germany,Lost Nightmare,1,,NC-S22,KK,KK,SE,,JV+,KK,KK,AL+,,,JB,NC,,,,,,
SG,,Comic book,Vom Anfang,,,Carolin Reich,,,Germany,Europe,Germany,German,,,Fantasy,,,,2016,24,,,,,www.vom-anfang.de,,,,,Germany,Vom Anfang,1,,NC-S22,MG,MG,SE,,JV+,MG,MG,ID+,,,JB,NC,FM,,,,,
SG,,Graphic novel,Eislicht,,,Anike Hage,,Germany,,Europe,Germany,German,,Altraverse GmbH,Fantasy,Manga,,,2018,26,,,,,,,,,,Germany,Eislicht,1,,NC-S22,AS,,,,NC+,AS,,,,,JB,NC,,,,,,
NC,,Short story,Abena,,AfriComics!,Originalbigwig Artist,,Ghana,Ghana,Africa,Ghana,English,,Goethe Institut,Slice of life,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/-/oha.html,,,,,Ghana,Abena,1,,NC-2023S,SG,OS+,PB,,TH+,BK,BK,IH+,PG,AB,LZ,NC+,SG,,,,RB,
NC,,Comic book,Ananse,,,Kiaski Donkor,,Ghana,United Kingdom,Africa,Ghana,English,,Project Ananse,Fantasy,,Everyone,,2020,7,1,1,,,,,Private,,,Ghana,Ananse,1,,NC-2023S,AS,OS+,SE,,TH+,HM,HM,AL+,,,JB,NC+,SG,,,ND,,
NC,,Comic book,Moon Girls,,,"Akosua Hanson, Suhaidatu Dramani, George Hanson, Tsiddi Can-Tamakloe, Newman Nwankwo",,Ghana,,Africa,Ghana,English,,Drama Queens,Superhero,Superhero,Adult,,2019,19,1,1,,,,,Private,Ch1 - Night Shift.pdf,,Ghana,Moon Girls,1,,NC-2023S,TH,,,,TH+,TH,,,,,XZ,,,,,,,
NC,,Comic book,Lake of Tears,,,written by Kobe Ofei and illustrated by,,Ghana,,Africa,Ghana,English,,BZL Studios,"Action, Thriller",Superhero,Teen,,2018,32,1,1,,,,,Sharing,Lake of Tears.pdf,,Ghana,Lake of Tears,1,,NC-2023S,TH,,,,TH+,TH,,,,,XZ,,,,,,,
NC,,Webcomic,Beyond the Walls,,,Natasha Nayo (Star Crea8tor),,Ghana,Ghana,Africa,Ghana,English,,Tapas,Fantasy,Manga,Everyone,,2014,,,1,,,https://tapas.io/episode/83423,,,,,Ghana,Beyond the Walls,1,,NC-2023S,TH,OS%,,,TH+,AS,,,,,JB,NC+,SG,,,,RHE,
NC,,Short story,The Breast Monster,,AfriComics!,"W: Kofi Berko, A: Rashid Yahaya",,Ghana,Ghana,Africa,Ghana,English,,Goethe Institut,Folktale,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/-/krt.html,,,,,Ghana,The Breast Monster,1,,NC-2023S,TH,,,,TH+,AS,BK,,,,JB,NC+,FM,,,ND,RHE,
NC,,Short story,Breathe,,AfriComics!,Amy Igelenyah Tetteh,,Ghana,Ghana,Africa,Ghana,English,,Goethe Institut,Slice of life,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/-/atb.html,,,,,Ghana,Breathe,1,,NC-2023S,TH,OS+,PB,,TH+,AS,BK,IH+,,LP,JB,NC+,SG,,,MaM,RB,
NC,,Short story,Overdrive,,AfriComics!,Nicholas Danso,,Ghana,Ghana,Africa,Ghana,English,,Goethe Institut,Humor,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/-/nso.html,,,,,Ghana,Overdrive,1,,NC-2023S,TH,,,,TH+,AS,BK,,,,JB,NC+,SG,,,,RHE,
NC,,Short story,Shine,,AfriComics!,Akowua Brako Siemens,,Ghana,Ghana,Africa,Ghana,English,,Goethe Institut,Political commentary,,Teen/adult,,2021,,,,,,https://www.goethe.de/prj/afc/de/cmc/-/akowua-brako-siemens-shine.html,,,,,Ghana,Shine,1,,NC-2023S,TH,,,,TH+,AS,BK%,,,,JB,NC+,,,,,,
NC/SL,,Comic magazine,Black Beth- The Magos of Malice,,Scream & Misty,W: Alec Worley A: DaNi,,Greece,Greece,Europe,Greece,English,,Rebellion,Horror,Cartoony,Teen/Adult,,2018,6,1,,,,,,,Scream_Misty.pdf,,Greece,Black Beth- The Magos of Malice,1,,NC-2022F,TH,,,,TH+,HM,HM, +,KH,,JB,,,,,ND,RB,
NC,,Comic book,Katerina in Athens,,,written by Vera Kartalou and designed by Nikolas Stefanadouros,,Cyprus,Cyprus,Europe,Greece,Greek,,,Childrens,Cartoony,Everyone,,2019,33,1,1,,,https://verakartalou.wixsite.com/verakartalou/comic-books,,Sharing,book_katerina_low_FINAL.pdf,,Greece,Katerina in Athens,1,,NC-2022F,TH,,,,TH+,,,,,,JB,,SG,,,,,
NC,,Comic book,Remember Andy Xenon?,,,"W: Tom Pinchuk, A: Nikos Koutsis",,Greece,Greece,Europe,Greece,English,,Zoop,Superhero,Superhero,Teen/Adult,,2021,4-9,,,,,https://nkoutsis.wixsite.com/koutsis/post/remember-andy-xenon-one-shot-on-zoop,,Private,,,Greece,Remember Andy Xenon?,1,,NC-2022F,TH,,,,TH+,HM,HM, +,,,JB,,SG,,,ND,,
NC,,Comic e-book,Hemilios,,,Nicolas Stefadouros,PHOCUS,Greece,Greece,Europe,Greece,English,Greek,Roche Hellas,"Educational, Comedy",Cartoony,Teen/Adult,,2019-2021,,,4,,,https://abouthaemophilia.com/,,,,,Greece,Hemilios,1,,NC-2022F,AS,,,,TH+,TH,, +,,,JB,,SG,,,,,
NC,,Comic book,The Dragon and the Ghost,,,Ilias Kyriazis,,Greece,Greece,Europe,Greece,English,,Iliaskyriazis.com,Science Fiction,Superhero,Teen/Adult,,2011,,,,,,http://iliaskyriazis.com/exclusives/the-dragon-and-the-ghost/,,Shared,,,Greece,The Dragon and the Ghost,1,,NC-2022F,SK ,SK,SE,,TH+,TH,,AL+,,,XZ,,,,,,,
NC,,Webcomic,The last shop on the street,,,Michael Dialynas,,Greece,Greece,Europe,Greece,English,,Wooden Corwn,,,Teen/Adult,,2013,,,,,,https://www.woodencrown.com/new-page,,Private,,,Greece,The last shop on the street,1,,NC-2022F,TH,OS+,PB,,TH+,HM,HM,AK+,,AB,JB,,SG,,,,,
NC,,Webcomic,Manga Love Letter,,SMAC!,Elizabeth Lander,,Grenada,Grenada,North America,Grenada,,,SMAC Web Magazine,Drama,Manga,Everyone,,2016,,,,,,https://smacmag.net/v/sma1/manga-love-letter-by-elizabeth-lander/#,,,,,Grenada,Manga Love Letter,1,R-to-L,NC-2023S,TH,,,,TH+,TH,,,KH,,LZ,,SG,,,MaM,,
NC,,Webcomic,Will you go out with me if I win?,,SMAC!,LEVEL Max,,Guadaloupe,Guadaloupe,North America,Guadaloupe,,,SMAC Web Magazine,Action,Manga,Everyone,,2011,,,,,,https://smacmag.net/v/sma11/will-you-go-out-with-me-if-i-win-by-level-max/#0,,,,,Guadaloupe,Will you go out with me if I win?,1,R-to-L,NC-2023S,TH,,,,TH+,TH,,,KH,,JW,,SG,,,MaM,,
NC,,Comic book,Héroe Nacional,,,Arturo Aguirre,,Guatamala,Guatamala,South America,Guatamala,Spanish,,Sketcheronline.com Comics,Superhero,Superhero,Everyone,,2017,5,,,,,,,Public,,,Guatamala,Héroe Nacional,1,,NC-2022F,TH,YS+,PB,,TH+,YS,YS,CW+,PG,AB,JB,NC+,,,,ND,RB,
NC,,Webcomic,La Luz del Abismo,,SMAC!,Daiki,,Guatamala,Guatamala,South America,Guatamala,,,SMAC Web Magazine,Fantasy,Manga,Everyone,,2020,,,,,,https://smacmag.net/v/sma16/la-luz-del-abismo-by-daiki/,,,,,Guatamala,La Luz del Abismo,1,R-to-L,NC-2023S,FM,,,,NC+,,,,,,JB,,FM,,,,,
